,0
0,44163.000000000015
1,44464.000000000015
2,44402.70000000001
3,44366.70000000001
4,44373.00000000001
5,44315.700000000004
6,44363.100000000006
7,44419.4
8,44099.50000000001
9,44306.50000000001
10,44256.8
11,44309.40000000001
12,44309.50000000001
13,44460.40000000001
14,44329.50000000001
15,44587.200000000004
16,44479.200000000004
17,44319.4
18,44213.3
19,44330.0
20,44224.2
21,44456.600000000006
22,44220.7
23,44445.09999999999
24,44360.99999999999
25,44196.69999999999
26,44396.899999999994
27,44221.299999999996
28,44397.9
29,44355.2
30,44422.69999999999
31,44329.39999999999
32,44559.39999999999
33,44416.999999999985
34,44567.999999999985
35,44200.69999999998
36,44295.79999999999
37,44320.89999999999
38,44309.399999999994
39,44416.29999999998
40,44193.89999999998
41,44366.899999999994
42,44372.799999999996
43,44430.19999999999
44,44252.1
45,44351.299999999996
46,44497.49999999999
47,44094.99999999999
48,44345.499999999985
49,44407.69999999999
50,44276.89999999999
51,44360.299999999996
52,44293.69999999999
53,44333.299999999996
54,44495.59999999999
55,44224.59999999999
56,44222.29999999999
57,44308.999999999985
58,44200.49999999998
59,44381.999999999985
60,44269.499999999985
61,44227.699999999975
62,44434.99999999998
63,44253.69999999998
64,44405.69999999998
65,44286.39999999998
66,44313.79999999999
67,44400.29999999999
68,44215.99999999999
69,44412.999999999985
70,44172.099999999984
71,44377.99999999998
72,44243.39999999999
73,44355.99999999998
74,44303.59999999998
75,44511.99999999998
76,44662.89999999998
77,44539.89999999998
78,44488.59999999998
79,44201.19999999998
80,44453.99999999998
81,44205.99999999998
82,44305.39999999998
83,44310.49999999997
84,44322.799999999974
85,44225.89999999998
86,44261.199999999975
87,44327.79999999998
88,44264.39999999997
89,44284.299999999974
90,44355.59999999998
91,44292.09999999998
92,44406.09999999996
93,44413.49999999997
94,44355.69999999997
95,44550.99999999997
96,44436.49999999997
97,44413.79999999997
98,44348.799999999974
99,44331.89999999997
100,44273.399999999965
101,44453.799999999974
102,44282.39999999997
103,44461.39999999998
104,44333.699999999975
105,44252.799999999974
106,44389.49999999998
107,44252.49999999998
108,44260.49999999998
109,44410.59999999998
110,44279.299999999974
111,44397.89999999998
112,44211.599999999984
113,44478.999999999985
114,44165.29999999998
115,44396.99999999998
116,44374.299999999974
117,44479.29999999998
118,44389.699999999975
119,44354.29999999997
120,44400.49999999997
121,44244.799999999974
